Agency_Name,Region,Accounts_Assigned,Accounts_Resolved,Resolution_Rate_Percent,Amount_Assigned_Cr,Amount_Recovered_Cr,Recovery_Rate_Percent,Avg_Resolution_Days,Escalation_Count,CSAT_Compliance,Rating,Contract_Expiry,Remarks
ABC Collections,West,145,92,63.4,18.5,11.2,60.5,28,8,Yes,A,2025-06-30,Top performer West. Strong field team.
XYZ Recovery,West,120,68,56.7,15.2,8.1,53.3,35,12,Yes,B+,2025-03-31,Good but improving. Higher escalation rate.
Premium Collections,North,85,58,68.2,22.4,15.8,70.5,22,3,Yes,A+,2025-09-30,Best recovery rate. NRI and HNI specialist.
Delta Associates,South,110,62,56.4,12.8,6.9,53.9,32,15,Partial,B,2025-03-31,CSAT concerns — customer complaint about aggressive tactics. Warning issued.
Omega Services,East,65,32,49.2,8.5,3.8,44.7,42,18,No,C,2025-01-31,Underperforming. Contract review scheduled. May not be renewed.
In-house Collections,All India,250,185,74.0,8.2,6.8,82.9,15,2,Yes,A+,N/A,Best performance for 0-60 DPD bucket. Digital-first approach.
Legal Team,All India,45,12,26.7,35.8,8.2,22.9,180,0,Yes,N/A,N/A,SARFAESI and legal proceedings. Long cycle. High-value NPA recovery.
National Recovery Services,North,130,82,63.1,16.8,10.2,60.7,30,9,Yes,A,2025-09-30,Strong in UP and Rajasthan. Good vernacular team for borrower engagement.
Metro Collections,West - Mumbai,95,61,64.2,11.4,7.3,64.0,26,6,Yes,A,2025-06-30,Mumbai specialist. Excellent local knowledge and court liaison.
Apex Associates,South - Chennai,88,49,55.7,10.2,5.4,52.9,34,11,Partial,B+,2025-06-30,Improving performance. New management since Q3. Monitoring closely.
Pinnacle Recovery,North - Delhi,105,72,68.6,14.5,10.1,69.7,24,5,Yes,A+,2025-12-31,Top performer Delhi NCR. Handles HNI and NRI accounts efficiently.
Stellar Collections,South - Bangalore,78,44,56.4,9.8,5.2,53.1,33,10,Yes,B+,2025-06-30,IT corridor specialist. Good with salaried borrower negotiations.
FirstCall Recovery,West - Pune,62,38,61.3,7.2,4.5,62.5,27,7,Yes,A,2025-09-30,Pune and PCMC focused. Small but effective team. Low complaint rate.
TrustRecover,East - Kolkata,55,28,50.9,6.8,3.2,47.1,38,13,Partial,B,2025-03-31,Moderate performance. Struggled with high DPD cases. Training underway.
SafeHands Agency,North - Jaipur,48,30,62.5,5.5,3.4,61.8,29,4,Yes,A,2025-09-30,Rajasthan specialist. Excellent rural and semi-urban reach.
Guardian Collections,Central - Bhopal,42,22,52.4,4.8,2.4,50.0,36,9,Partial,B,2025-06-30,MP and Chhattisgarh coverage. Needs improvement in resolution speed.
Resolve Partners,Pan-India,180,118,65.6,24.2,15.8,65.3,25,11,Yes,A,2025-12-31,Large agency with pan-India presence. Consistent performer across regions.
ProActive Recovery,West - Ahmedabad,58,34,58.6,7.6,4.3,56.6,31,8,Yes,B+,2025-06-30,Gujarat focused. Good with LAP and commercial property cases.
QuickResolve,South - Hyderabad,72,46,63.9,8.9,5.7,64.0,26,5,Yes,A,2025-09-30,Telangana and AP specialist. Fast turnaround on early bucket cases.
MaxRecovery,North - Lucknow,65,35,53.8,7.8,4.0,51.3,35,14,No,C,2025-03-31,High complaint rate. Two CSAT failures in Q4. Probation period initiated.
EastWing Collections,East - Patna,38,18,47.4,4.2,1.8,42.9,40,16,No,C,2025-01-31,Weakest performer. Contract termination under discussion. Bihar coverage poor.
Zenith Recovery,South - Kochi,52,33,63.5,6.4,4.1,64.1,28,6,Yes,A,2025-09-30,Kerala specialist. Good legal team support. Handles SARFAESI prep well.
PrimeCollect,Central - Indore,45,26,57.8,5.1,2.9,56.9,32,7,Yes,B+,2025-06-30,Madhya Pradesh coverage. Growing agency with improving metrics.
ABC Collections,West,158,105,66.5,20.2,13.5,66.8,26,6,Yes,A,2025-06-30,Q4 FY25 performance. Improved from Q3. New digital outreach tools deployed.
XYZ Recovery,West,132,78,59.1,16.8,9.5,56.5,33,10,Yes,B+,2025-03-31,Q4 FY25 performance. Resolution rate improving quarter-on-quarter.
Premium Collections,North,92,66,71.7,25.1,18.2,72.5,20,2,Yes,A+,2025-09-30,Q4 FY25 performance. Consistently best recovery rate across all quarters.
Delta Associates,South,115,70,60.9,13.5,7.8,57.8,30,12,Partial,B+,2025-03-31,Q4 FY25 performance. Improved after warning. CSAT compliance being reassessed.
Omega Services,East,70,38,54.3,9.1,4.5,49.5,39,15,No,C,2025-01-31,Q4 FY25 performance. Marginal improvement. Contract renewal unlikely.
National Recovery Services,North,142,95,66.9,18.4,12.0,65.2,28,7,Yes,A,2025-09-30,Q4 FY25 performance. Strong festive season collections in UP and Rajasthan.
Pinnacle Recovery,North - Delhi,112,80,71.4,15.8,11.2,70.9,22,4,Yes,A+,2025-12-31,Q4 FY25 performance. Highest resolution rate among all agencies this quarter.
Resolve Partners,Pan-India,195,132,67.7,26.5,17.8,67.2,24,9,Yes,A,2025-12-31,Q4 FY25 performance. Expanded to 3 new cities. Scaling well.
Metro Collections,West - Mumbai,102,68,66.7,12.2,8.1,66.4,25,5,Yes,A,2025-06-30,Q4 FY25 performance. Strong SARFAESI support improved high-DPD recovery.
SafeHands Agency,North - Jaipur,55,36,65.5,6.2,4.0,64.5,27,3,Yes,A,2025-09-30,Q4 FY25 performance. Rural outreach program yielding results. Recommending expanded scope.
FirstCall Recovery,West - Pune,68,44,64.7,7.8,5.1,65.4,25,5,Yes,A,2025-09-30,Q4 FY25 performance. Pune market recovery strong due to IT sector stabilization.
TrustRecover,East - Kolkata,60,34,56.7,7.4,3.8,51.4,36,11,Partial,B,2025-03-31,Q4 FY25 performance. New team lead appointed. Slight improvement visible.
Stellar Collections,South - Bangalore,85,52,61.2,10.8,6.2,57.4,30,8,Yes,B+,2025-06-30,Q4 FY25 performance. Benefited from IT hiring uptick. More borrowers resuming payments.
QuickResolve,South - Hyderabad,78,52,66.7,9.6,6.4,66.7,24,4,Yes,A,2025-09-30,Q4 FY25 performance. Best in South region. Pharma sector recovery aiding collections.
Guardian Collections,Central - Bhopal,48,28,58.3,5.4,2.9,53.7,34,8,Partial,B,2025-06-30,Q4 FY25 performance. Modest improvement. Need to expand field force in tier-3 cities.
ProActive Recovery,West - Ahmedabad,64,40,62.5,8.2,5.0,61.0,29,6,Yes,B+,2025-06-30,Q4 FY25 performance. Diamond and textile sector recovery seasonal. Expected improvement Q1.
Zenith Recovery,South - Kochi,58,38,65.5,7.0,4.6,65.7,26,5,Yes,A,2025-09-30,Q4 FY25 performance. Gulf remittance cases showing improvement. NRI coordination effective.
PrimeCollect,Central - Indore,50,30,60.0,5.6,3.3,58.9,30,6,Yes,B+,2025-06-30,Q4 FY25 performance. Expanding to Raipur. Consistent trajectory.
MaxRecovery,North - Lucknow,68,40,58.8,8.4,4.6,54.8,33,11,Partial,B,2025-03-31,Q4 FY25 performance. Showing improvement after probation. Still under monitoring.
EastWing Collections,East - Patna,40,20,50.0,4.5,2.0,44.4,42,14,No,Under Review,2025-01-31,Q4 FY25 performance. Termination proceedings initiated. Transition plan for Bihar accounts.
Apex Associates,South - Chennai,92,56,60.9,11.0,6.2,56.4,31,9,Yes,B+,2025-06-30,Q4 FY25 performance. New management stabilizing. CSAT compliance restored.
Resolve Partners,South - Bangalore,45,30,66.7,6.2,4.2,67.7,24,3,Yes,A,2025-12-31,Bangalore sub-office Q4 FY25. Tech park corridor accounts performing well.
Resolve Partners,North - Delhi,52,35,67.3,7.8,5.2,66.7,25,4,Yes,A,2025-12-31,Delhi sub-office Q4 FY25. Good synergy with Pinnacle for NCR coverage.
National Recovery Services,Central - Bhopal,35,20,57.1,3.8,2.1,55.3,33,5,Yes,B+,2025-09-30,Central region expansion. New office in Bhopal. Building team for MP coverage.
ABC Collections,West - Pune,48,32,66.7,5.8,3.9,67.2,24,3,Yes,A,2025-06-30,Pune sub-office FY25. Good coordination with FirstCall for western Maharashtra.
XYZ Recovery,South - Hyderabad,42,24,57.1,5.2,2.8,53.8,34,8,Yes,B+,2025-03-31,Hyderabad pilot Q4 FY25. New market entry. Performance as expected for initial phase.
Pinnacle Recovery,North - Chandigarh,38,25,65.8,4.5,3.0,66.7,26,3,Yes,A,2025-12-31,Punjab and Haryana coverage. Military and government borrower segment well-handled.
Premium Collections,West - Mumbai,40,28,70.0,12.8,9.2,71.9,21,2,Yes,A+,2025-09-30,Mumbai HNI desk Q4 FY25. Handles high-value accounts with white-glove service.
Metro Collections,South - Chennai,32,18,56.3,3.8,2.0,52.6,35,7,Partial,B,2025-06-30,Chennai expansion Q4 FY25. Building local presence. Initial phase underperformance expected.
Delta Associates,South - Bangalore,55,32,58.2,6.4,3.5,54.7,33,10,Partial,B,2025-03-31,Bangalore office FY25. CSAT issues persist in aggressive follow-up style. Retraining mandated.
